Instituição;Cod.IBGE;UF;População;Indicador_1;Nota_1;Indicador_2;Nota_2;Indicador_3;Nota_3;Classificação da CAPAG
Prefeitura Municipal de Abadia de Goiás - GO;5200050;GO;8583;0,127976496;A;0,906314496;B;0,962423688;A;B
Prefeitura Municipal de Abadia dos Dourados - MG;3100104;MG;6972;0,165696027;A;0,90987563;B;0,774738727;A;B
Prefeitura Municipal de Abadiânia - GO;5200100;GO;19614;0,154622885;A;0,959243401;C;1,832419324;C;C
Prefeitura Municipal de Abaeté - MG;3100203;MG;23223;0,310158289;A;0,901489297;B;0,13432183;A;B
Prefeitura Municipal de Abaetetuba - PA;1500107;PA;156292;0,031986086;A;0,961195332;C;0,882159646;A;C
Prefeitura Municipal de Abaiara - CE;2300101;CE;11663;0,60696643;B;0,975629899;C;;n.d.;n.d.
Prefeitura Municipal de Abaíra - BA;2900108;BA;8767;0,585936858;A;0,833269834;A;;n.d.;n.d.
Prefeitura Municipal de Abaré - BA;2900207;BA;19814;0,757208573;B;0,998018343;C;21,17670593;C;C
Prefeitura Municipal de Abatiá - PR;4100103;PR;7507;0,3597587;A;1,043828142;C;0,291075203;A;C
Prefeitura Municipal de Abdon Batista - SC;4200051;SC;2577;0,039165365;A;0,831326184;A;0,161233074;A;A
Prefeitura Municipal de Abel Figueiredo - PA;1500131;PA;7382;;n.d.;1,033413383;C;;n.d.;n.d.
Prefeitura Municipal de Abelardo Luz - SC;4200101;SC;17847;0,057427262;A;0,893905927;A;0,128920166;A;A
Prefeitura Municipal de Abre Campo - MG;3100302;MG;13465;0,644296656;B;0,926109792;B;0,013112701;A;B
Prefeitura Municipal de Abreu e Lima - PE;2600054;PE;99622;0,129441945;A;0,986102824;C;3,19285961;C;C
Prefeitura Municipal de Abreulândia - TO;1700251;TO;2564;0,067681179;A;0,960933;C;2,804568297;C;C
Prefeitura Municipal de Acaiaca - MG;3100401;MG;3994;0,076731725;A;0,950136995;C;;n.d.;n.d.
Prefeitura Municipal de Açailândia - MA;2100055;MA;111757;;n.d.;0,950004473;C;0,788616316;A;n.d.
Prefeitura Municipal de Acajutiba - BA;2900306;BA;15129;0,350907053;A;0,973620721;C;38,48890613;C;C
Prefeitura Municipal de Acará - PA;1500206;PA;55513;0,896237923;B;0,994687933;C;;n.d.;n.d.
Prefeitura Municipal de Acarape - CE;2300150;CE;16639;0,9352142;B;0,955713109;C;;n.d.;n.d.
Prefeitura Municipal de Acaraú - CE;2300200;CE;62557;0,066777418;A;0,926848269;B;1,751363781;C;C
Prefeitura Municipal de Acari - RN;2400109;RN;11152;0,504337043;A;0,944330582;B;0,427614473;A;B
Prefeitura Municipal de Acauã - PI;2200053;PI;7065;;n.d.;1,000722579;C;0,454441918;A;n.d.
Prefeitura Municipal de Aceguá - RS;4300034;RS;4858;;n.d.;0,942951749;B;0,083813417;A;n.d.
Prefeitura Municipal de Acopiara - CE;2300309;CE;53931;0,356500191;A;0,950400431;C;;n.d.;n.d.
Prefeitura Municipal de Acorizal - MT;5100102;MT;5424;;n.d.;;n.d.;0,988058945;A;n.d.
Prefeitura Municipal de Acrelândia - AC;1200013;AC;;;n.d.;;n.d.;;n.d.;n.d.
Prefeitura Municipal de Acreúna - GO;5200134;GO;22182;0,029482605;A;0,892224021;A;12,20373643;C;C
